COUNT|Sr-Singles|Fa-24|7|10/14/24|1|22|RPH|RPH|8|/|X||X||X||X||8|/|8|1|8|/|8|1|9|/|X|||
LEAVE|||||||||47||||||||||610||210|10|36||610|6|10|||||
SCORE|||||||||20||50||80||108||128||146||155||173||182||202|||||
TYPE|||||||||||||||||||||split-1|split-2||||||||||
BOARD|||||||||h-pocket||pocket||light||pocket||light||high||light||high||high||pocket||pocket|||
LANE|||||||||22||21||22||21||22||21||22||21||22||21||21|||
BALL|||||||||RPH|RPH|RPH||RPH||RPH||RPH||RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|7|10/14/24|2|21|RPH|RPH|X||7|1|X||X||X||9|/|X||9|/|X||7|/|8|||
LEAVE|||||||||||2710|710|||||||7||||4||||245||49|||
SCORE|||||||||18||26||56||85||105||125||145||165||185||203|||||
TYPE|||||||||||split-1|split-2|||||||||||||||||split-1|||
BOARD|||||||||pocket||light||brooklyn||pocket||pocket||pocket||pocket||h-pocket||pocket||light||h-pocket|||
LANE|||||||||21||22||21||22||21||22||21||22||21||22||22|||
BALL|||||||||RPH||RPH|RPH|RPH||RPH||RPH||RPH|RPH|RPH||RPH|RPH|RPH||RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|7|10/14/24|3|22|RPH|RPH|X||9|/|7|/|X||9|/|7|2|X||9|/|7|/|9|/|X|||
LEAVE|||||||||||10||245||||2||457|5|||3||245||3|||||
SCORE|||||||||20||37||57||77||94||103||123||140||159||179|||||
TYPE|||||||||||||||||||m-split-1|m-split-2||||||||||||
BOARD|||||||||brooklyn||brooklyn||light||pocket||light||light|left|pocket||high||light||high||pocket|||
LANE|||||||||22||21||22||21||22||21||22||21||22||21||21|||
BALL|||||||||RPH||RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH|RPH|RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|8|10/21/24|1|25|RPH|RPH/BD|X||9|/|9|/|X||8|/|9|/|X||8|1|9|/|X||9|/||
LEAVE|||||||||||9||10||||25||7||||49|9|10||||7|||
SCORE|||||||||20||39||59||79||98||118||137||146||166||186|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||pocket||pocket||pocket||pocket||light||pocket||pocket||h-pocket||pocket||pocket||pocket|||
LANE|||||||||25||26||25||26||25||26||25||26||25||26||26|||
BALL|||||||||RPH||RPH|RPH|RPH|BD|RPH||RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH|BD|RPH||RPH|RPH||
COUNT|Sr-Singles|Fa-24|8|10/21/24|2|26|RPH/NUB|RPH/BD|7|/|9|-|8|/|8|/|9|/|X||9|/|7|/|X||7|2||||
LEAVE|||||||||3610||10|10|310||28||10||||5||124||||2810|10||||
SCORE|||||||||19||28||46||65||85||105||122||142||161||170|||||
TYPE|||||||||||||m-split-1|m-split-2|||||||||||||split-1|split-2||||
BOARD|||||||||high||pocket||high||light||pocket||pocket||brooklyn||right||brooklyn||light|||||
LANE|||||||||26||25||26||25||26||25||26||25||26||25|||||
BALL|||||||||RPH|RPH|RPH|BD|RPH|RPH|RPH|RPH|NUB|BD|NUB||NUB|RPH|NUB|RPH|NUB||NUB|RPH||||
COUNT|Sr-Singles|Fa-24|8|10/21/24|3|25|NUB|RPH/BD|9|-|X||9|/|9|/|7|/|X||X||9|/|X||7|/|X|||
LEAVE|||||||||10||||10||2||2410||||||10||||3610|||||
SCORE|||||||||9||29||48||65||85||114||134||154||174||194|||||
TYPE|||||||||||||||||split-1|split-2||||||||||||||
BOARD|||||||||pocket||pocket||pocket||light||light||light||pocket||pocket||pocket||high||pocket|||
LANE|||||||||25||26||25||26||25||26||25||26||25||26||26|||
BALL|||||||||NUB|BD|NUB||NUB|BD|NUB|RPH|NUB|RPH|NUB||NUB||NUB|BD|NUB||NUB|RPH|NUB|||
COUNT|Sr-Singles|Fa-24|9|10/28/24|1|21|RPH|RPH|9|/|X||7|/|6|/|X||9|/|X||9|/|X||9|/|9|||
LEAVE|||||||||10||||245||12410||||4||||5||||10||10|||
SCORE|||||||||20||40||56||76||96||116||136||156||176||195|||||
TYPE|||||||||||||||wash-1|wash-2||||||||||||||||
BOARD|||||||||pocket||pocket||light||right||pocket||h-pocket||pocket||l-pocket||pocket||pocket||pocket|||
LANE|||||||||21||22||21||22||21||22||21||22||21||22||22|||
BALL|||||||||RPH|RPH|RPH||RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH||RPH|RPH|RPH||RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|9|10/28/24|2|22|RPH|RPH|9|/|9|/|9|/|X||9|/|9|-|X||X||X||7|/|X|||
LEAVE|||||||||7||7||3||||10||10|10|||||||3610|||||
SCORE|||||||||19||38||58||78||97||106||136||163||183||203|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||pocket||pocket||high||pocket||pocket||pocket||pocket||pocket||pocket||high||pocket|||
LANE|||||||||22||21||22||21||22||21||22||21||22||21||21|||
BALL|||||||||RPH|RPH|RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH|RPH|RPH||RPH||RPH||RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|9|10/28/24|3|21|RPH|RPH|X||7|2|9|/|X||7|1|X||8|/|X||9|/|X||X||9|
LEAVE|||||||||||2410||4||||3610||||36||||10||||||10|
SCORE|||||||||19||28||48||66||74||94||114||134||154||183|||||
TYPE|||||||||||split-1|split-2||||||||||||||||||||
BOARD|||||||||pocket||light||h-pocket||pocket||high|chop|pocket||high||pocket||pocket||pocket||pocket||pocket|
LANE|||||||||21||22||21||22||21||22||21||22||21||22||22||22|
BALL|||||||||RPH||RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH||RPH|RPH|RPH||RPH|RPH|RPH||RPH||RPH|
COUNT|Sr-Singles|Fa-24|10|11/4/24|1|23|RPH|RPH|6|3|X||9|/|7|/|X||6|2|8|/|X||X||6|/|X|||
LEAVE|||||||||1248|4|||10||3610||||36710|37|47||||||2458|||||
SCORE|||||||||9||29||46||66||84||92||112||138||158||178|||||
TYPE|||||||||||||||||||m-split-1|m-split-2||||||||||||
BOARD|||||||||right|right|pocket||pocket||high||pocket||high||h-pocket||pocket||pocket||light||pocket|||
LANE|||||||||23||24||23||24||23||24||23||24||23||24||24|||
BALL|||||||||RPH|RPH|RPH||RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH|RPH|RPH||RPH||RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|10|11/4/24|2|24|RPH|RPH|X||X||X||X||X||7|2|9|/|X||9|/|8|/|6|||
LEAVE|||||||||||||||||||245|5|7||||4||610||12410|||
SCORE|||||||||30||60||90||117||137||146||166||185||203||219|||||
TYPE|||||||||||||||||||||||||||||wash-1|||
BOARD|||||||||nose||pocket||pocket||pocket||pocket||light|chop|pocket||pocket||h-pocket||high||right|||
LANE|||||||||24||23||24||23||24||23||24||23||24||23||23|||
BALL|||||||||RPH||RPH||RPH||RPH||RPH||RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|10|11/4/24|3|23|RPH|RPH|9|/|8|/|X||9|/|X||7|/|X||X||X||9|/|X|||
LEAVE|||||||||4||24||||8||||3610||||||||5|||||
SCORE|||||||||18||38||58||78||98||118||148||177||197||217|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||h-pocket||light||pocket||light||pocket||high||pocket||pocket||pocket||light||pocket|||
LANE|||||||||23||24||23||24||23||24||23||24||23||24||24|||
BALL|||||||||RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH||RPH|RPH|RPH||RPH||RPH||RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|11|11/11/24|1|25|RPH|RPH|9|/|7|2|8|/|X||X||9|/|9|/|X||8|/|X||X||X|
LEAVE|||||||||4||245|4|27||||||10||7||||36|||||||
SCORE|||||||||17||26||46||75||95||114||134||154||174||204|||||
TYPE|||||||||||||m-split-1|m-split-2||||||||||||||||||
BOARD|||||||||h-pocket||light||light||pocket||pocket||pocket||pocket||pocket||high||pocket||pocket||pocket|
LANE|||||||||25||26||25||26||25||26||25||26||25||26||26||26|
BALL|||||||||RPH|RPH|RPH|RPH|RPH|RPH|RPH||RPH||RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH||RPH|||
COUNT|Sr-Singles|Fa-24|11|11/11/24|2|26|RPH|RPH|X||X||9|-|9|/|X||X||9|/|6|3|8|1|X||X||8|
LEAVE|||||||||||||10|10|6||||||10||2457|4|610|10|||||57|
SCORE|||||||||29||48||57||77||106||126||142||151||160||188|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||pocket||pocket||pocket|left|high||pocket||pocket||pocket||light|right|high|left|pocket||pocket||l-pocket|
LANE|||||||||26||25||26||25||26||25||26||25||26||25||25||25|
BALL|||||||||RPH||RPH||RPH|RPH|RPH|RPH|RPH||RPH||RPH|RPH|RPH|RPH|RPH|RPH|RPH||RPH||RPH|
COUNT|Sr-Singles|Fa-24|11|11/11/24|3|25|RPH|RPH|9|/|X||8|/|9|/|9|/|9|/|8|1|9|/|9|/|9|/|9|||
LEAVE|||||||||4||||36||10||10||10||49|9|4||7||7||7|||
SCORE|||||||||20||40||59||78||97||115||124||143||162||181|||||
TYPE|||||||||||||||||||||split-1|split-2||||||||||
BOARD|||||||||h-pocket||pocket||high||pocket||pocket||pocket||h-pocket||h-pocket||pocket||pocket||pocket|||
LANE|||||||||25||26||25||26||25||26||25||26||25||26||26|||
BALL|||||||||RPH|RPH|RPH||RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|12|11/18/24|1|24|RPH|RPH|9|/|9|/|X||X||X||X||X||X||X||9|/|X|||
LEAVE|||||||||7||7||||||||||||||||6|||||
SCORE|||||||||19||39||69||99||129||159||189||218||238||258|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||pocket||pocket||pocket||pocket||pocket||pocket||pocket||pocket||pocket||high||pocket|||
LANE|||||||||24||23||24||23||24||23||24||23||24||23||23|||
BALL|||||||||RPH|RPH|RPH|RPH|RPH||RPH||RPH||RPH||RPH||RPH||RPH||RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|12|11/18/24|2|23|RPH|RPH|9|/|X||X||9|/|8|/|X||8|1|9|/|X||9|/|X|||
LEAVE|||||||||10||||||7||36||||45|4|9||||7|||||
SCORE|||||||||20||49||69||87||107||126||135||155||175||195|||||
TYPE|||||||||||||||||||||m-split-1|m-split-2||||||||||
BOARD|||||||||pocket||light||light||pocket||high||pocket||light|right|pocket||pocket||high||pocket|||
LANE|||||||||23||24||23||24||23||24||23||24||23||24||24|||
BALL|||||||||RPH|RPH|RPH||RPH||RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|12|11/18/24|3|24|RPH|RPH|X||9|/|X||9|-|9|/|8|/|X||X||X||X||9|/||
LEAVE|||||||||||4||||10|10|||45||||||||||10|||
SCORE|||||||||20||40||59||68||86||106||136||166||195||215|||||
TYPE|||||||||||||||||||m-split-1|m-split-2||||||||||||
BOARD|||||||||pocket||h-pocket||pocket||pocket|left|pocket||light||pocket||pocket||pocket||pocket||pocket|||
LANE|||||||||24||23||24||23||24||23||24||23||24||23||23|||
BALL|||||||||RPH||RPH|RPH|RPH||RPH||RPH|RPH|RPH|RPH|RPH||RPH||RPH||RPH||RPH|RPH||
COUNT|Sr-Singles|Fa-24|13|11/21/24|1|21|RPH|RPH|9|/|X||X||7|/|8|/|9|/|X||X||9|/|X||8|/||
LEAVE|||||||||7||||||245||28||10||||||4||||47|||
SCORE|||||||||20||47||67||85||104||124||153||173||193||213|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||pocket||pocket||pocket||light||light||pocket||pocket||pocket||h-pocket||pocket||h-pocket|||
LANE|||||||||21||22||21||22||21||22||21||22||21||22||22|||
BALL|||||||||RPH|RPH|RPH||RPH||RPH|RPH|RPH|RPH|RPH|RPH|RPH||RPH||RPH|RPH|RPH||RPH|RPH||
COUNT|Sr-Singles|Fa-24|13|11/21/24|2|22|RPH|RPH|8|1|X||X||X||9|/|X||X||X||X||6|2||||
LEAVE|||||||||310|3|||||||4||||||||||46710|47||||
SCORE|||||||||9||39||68||88||108||138||168||194||212||220|||||
TYPE|||||||||m-split-1|m-split-2|||||||||||||||||split-1|split-2||||
BOARD|||||||||high||pocket||pocket||pocket||h-pocket||pocket||pocket||pocket||pocket||nose|||||
LANE|||||||||22||21||22||21||22||21||22||21||22||21|||||
BALL|||||||||RPH|RPH|RPH||RPH||RPH||RPH|RPH|RPH||RPH||RPH||RPH||RPH|RPH||||
COUNT|Sr-Singles|Fa-24|13|11/21/24|3|21|RPH|RPH|9|-|9|/|X||X||9|/|6|/|X||X||9|/|X||9|/||
LEAVE|||||||||10|10|2||||||10||2458||||||10||||7|||
SCORE|||||||||9||29||58||78||94||114||143||163||183||203|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||pocket|left|light||pocket||pocket||pocket||light||pocket||pocket||pocket||pocket||pocket|||
LANE|||||||||21||22||21||22||21||22||21||22||21||22||22|||
BALL|||||||||RPH|RPH|RPH|RPH|RPH||RPH||RPH|RPH|RPH|RPH|RPH||RPH||RPH|RPH|RPH||RPH|RPH||
COUNT|Sr-Singles|Fa-24|14|12/2/04|1|27|RPH|RPH|X||X||X||8|/|X||X||X||X||9|/|X||9|/||
LEAVE|||||||||||||||310||||||||||10||||2|||
SCORE|||||||||30||58||78||98||128||158||187||207||227||246|||||
TYPE|||||||||||||||m-split-1|m-split-2||||||||||||||||
BOARD|||||||||pocket||pocket||pocket||high||pocket||pocket||pocket||pocket||high||pocket||light|||
LANE|||||||||27||28||27||28||27||28||27||28||27||28||28|||
BALL|||||||||RPH||RPH||RPH||RPH|RPH|RPH||RPH||RPH||RPH||RPH|RPH|RPH||RPH|RPH||
COUNT|Sr-Singles|Fa-24|14|12/2/04|2|28|RPH|RPH|9|/|6|2|9|/|X||8|/|9|/|7|2|X||X||X||9|/||
LEAVE|||||||||2||46710|610|10||||58||4||245|4|||||||5|||
SCORE|||||||||16||24||44||64||83||100||109||139||168||188|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||light||nose||pocket||pocket||light||high||light|right|pocket||pocket||pocket||l-pocket|||
LANE|||||||||28||27||28||27||28||27||28||27||28||27||27|||
BALL|||||||||RPH|RPH|RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH|RPH|RPH|RPH|RPH||RPH||RPH||RPH|RPH||
COUNT|Sr-Singles|Fa-24|14|12/2/04|3|27|RPH|RPH|X||9|/|X||9|-|X||X||X||8|/|X||X||9|/||
LEAVE|||||||||||10||||10|10|||||||58||||||10|||
SCORE|||||||||20||40||59||68||98||126||146||166||195||215|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||pocket||pocket||light||pocket|right|pocket||pocket||brooklyn||light||pocket||brooklyn||pocket|||
LANE|||||||||27||28||27||28||27||28||27||28||27||28||28|||
BALL|||||||||RPH||RPH|RPH|RPH||RPH|RPH|RPH||RPH||RPH||RPH|RPH|RPH||RPH||RPH|RPH||
COUNT|Sr-Singles|Fa-24|19|12/5/24|1|19|RPH|RPH|X||9|/|X||X||7|2|8|/|9|/|X||6|/|9|/|X|||
LEAVE|||||||||||7||||||257|7|36||8||||2457||10|||||
SCORE|||||||||20||40||67||86||95||114||134||154||173||193|||||
TYPE|||||||||||||||||m-split-1|m-split-2||||||||||||||
